Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764402400.911092,4513.296015784258,104.98751275139357,1.42392788e-07
764402400.911192,4513.791084917628,106.35229086953858,1.42266546e-07
764402400.9112921,4514.28615405246,106.61811723651803,1.42132836e-07
764402400.9113921,4514.781223188755,101.43806659480968,1.42003529e-07
764402400.9114921,4515.276292325625,101.96027556750924,1.41871876e-07
764402400.9115921,4515.771361464844,104.10685914714692,1.41746245e-07
764402400.9116921,4516.266430605524,97.66500246979217,1.4161253e-07
764402400.9117922,4516.7614997471865,109.00731654104531,1.41481764e-07
764402400.9118922,4517.25656889031,99.58041623272315,1.41351008e-07
764402400.9119922,4517.751638034893,105.38961763293744,1.41219887e-07
764402400.9120922,4518.246707180935,103.09730016178902,1.41087795e-07
764402400.9121922,4518.741776328437,101.01691030242065,1.40972187e-07
764402400.9122922,4519.236845477396,96.49530078541206,1.4082955e-07
764402400.9123923,4519.731914627812,102.71728675283997,1.40708702e-07
764402400.9124923,4520.226983779686,105.06176523062177,1.40578416e-07
764402400.9125923,4520.722052933494,103.6872360043175,1.40445e-07
764402400.9126923,4521.217122088757,100.78725377208474,1.40315906e-07
764402400.9127923,4521.712191245476,106.76885310160225,1.40185753e-07
764402400.9128923,4522.20726040365,104.03534799109269,1.40056651e-07
764402400.9129924,4522.70232956328,101.33601544752729,1.3992538e-07
764402400.9130924,4523.197398724364,109.35812622402152,1.39802101e-07
764402400.9131924,4523.692467886424,108.08103454334916,1.39673469e-07
764402400.9132924,4524.187537049939,107.88051893119369,1.39545863e-07
764402400.9133924,4524.682606213864,105.31381269439994,1.3941513e-07
764402400.9134924,4525.177675379243,99.36591777150285,1.39282625e-07
764402400.9135925,4525.672744546072,106.09866923324464,1.391612e-07
764402400.9136925,4526.1678137143535,109.30310477364722,1.39034461e-07
764402400.9137925,4526.662882884086,105.88991586672958,1.38903925e-07
764402400.9138925,4527.157952055746,103.66874424442608,1.387733e-07
764402400.9139925,4527.653021229898,101.14466580515752,1.38645006e-07
764402400.9140925,4528.148090405498,104.56060758778541,1.3851871e-07
764402400.9141926,4528.643159581661,105.98938533998573,1.3839298e-07
764402400.9142926,4529.13822876016,100.6104709024419,1.38260252e-07
764402400.9143926,4529.633297940107,103.96531935713125,1.3813361e-07
764402400.9144926,4530.128367121024,104.73081857183857,1.38007481e-07
764402400.9145926,4530.623436303389,105.94010586509786,1.37883051e-07
764402400.9146926,4531.118505487201,101.9247879281602,1.37755644e-07
764402400.9147927,4531.6135746724585,105.87964153658524,1.37630106e-07
764402400.9148927,4532.108643858276,107.9592695721843,1.37505056e-07
764402400.9149927,4532.603713046425,107.34477105610071,1.37379388e-07
764402400.9150927,4533.098782236018,100.0556847697178,1.37249536e-07
764402400.9151927,4533.5938514270565,104.16769975404286,1.37127843e-07
764402400.9152927,4534.0889206200145,104.18670839673518,1.36997592e-07
764402400.9153928,4534.583989814417,102.03872121459963,1.36870141e-07
764402400.9154928,4535.0790590102615,102.6651098582702,1.367438e-07
764402400.9155928,4535.574128207549,108.70937242308874,1.36620164e-07
764402400.9156928,4536.069197406278,105.51289244256571,1.36491694e-07
764402400.9157928,4536.564266605972,107.5859838445375,1.36368805e-07
764402400.9158928,4537.059335807107,106.48623778949204,1.36240281e-07
